日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
6-30,"2,690,207","1,964,048","726,159",0,0,0,0,0,0,"1,944,551","970,452",0,"970,452","1,137,915","163,816","974,099","2,670,710"
7-3,"4,097,860","2,985,549","1,112,311",0,0,0,0,0,0,"6,113,029","313,352","748,000","-434,648","8,863,181","2,315,504","6,547,677","7,225,340"
7-4,"3,733,824","19,374,032","-15,640,208",0,0,0,0,0,0,"-10,723,949","1,837,254","1,096,384","740,870","771,208","12,236,027","-11,464,819","-26,364,157"
7-5,"2,797,656","19,982,000","-17,184,344",0,0,0,"250,000",0,"250,000","-13,031,809","210,000","600,668","-390,668","12,000","12,653,141","-12,641,141","-29,966,153"
7-6,"2,625,929","18,996,112","-16,370,183",0,0,0,0,0,0,"-23,226,665","1,343,000","3,974,236","-2,631,236","120,000","20,715,429","-20,595,429","-39,596,848"
7-7,"6,109,777","5,176,020","933,757",0,0,0,0,0,0,"-24,223,602","846,000","1,478,302","-632,302","309,346","23,900,646","-23,591,300","-23,289,845"
7-10,"4,563,218","6,343,003","-1,779,785",0,0,0,0,0,0,"-7,955,520","728,000","181,567","546,433","121,500","8,623,453","-8,501,953","-9,735,305"
7-11,"11,927,305","3,348,455","8,578,850",0,0,0,"4,000,000","500,000","3,500,000","1,762,748","1,078,309","68,000","1,010,309","1,191,320","438,881","752,439","13,841,598"
7-12,"13,901,930","7,253,529","6,648,401",0,0,0,"7,000,000","558,000","6,442,000","11,280,441","1,538,254","26,012","1,512,242","11,882,374","2,114,175","9,768,199","24,370,842"
7-13,"26,534,054","9,642,200","16,891,854",0,0,0,"4,199,000","330,000","3,869,000","37,201,178","2,998,508","1,070,789","1,927,719","38,489,948","3,216,489","35,273,459","57,962,032"
7-14,"22,374,156","8,214,010","14,160,146",0,0,0,"5,000,000","700,000","4,300,000","35,771,140","564,586","454,359","110,227","36,324,029","663,116","35,660,913","54,231,286"
7-17,"12,028,796","10,159,000","1,869,796",0,0,0,"5,000,000",0,"5,000,000","21,072,419","560,221","180,087","380,134","22,043,005","1,350,720","20,692,285","27,942,215"
7-18,"15,363,958","10,843,250","4,520,708",0,0,0,0,"380,000","-380,000","10,095,785","300,683","1,090,763","-790,080","17,484,271","6,598,406","10,885,865","14,236,493"
7-19,"13,151,388","9,013,250","4,138,138",0,0,0,0,"750,000","-750,000","26,918,146","796,724","1,101,263","-304,539","27,808,327","585,642","27,222,685","30,306,284"
7-20,"6,337,611","2,949,000","3,388,611",0,0,0,0,"600,000","-600,000","12,903,706","136,517","146,267","-9,750","13,182,362","268,906","12,913,456","15,692,317"
7-21,"6,121,332","3,047,000","3,074,332",0,0,0,0,"400,000","-400,000","41,471,291","613,012","736,305","-123,293","42,205,223","610,639","41,594,584","44,145,623"
7-24,"9,585,595","4,494,676","5,090,919",0,0,0,0,"350,000","-350,000","116,134,135","396,772","756,957","-360,185","117,626,495","1,132,175","116,494,320","120,875,054"
7-25,"26,024,366","5,790,800","20,233,566",0,0,0,0,"550,000","-550,000","42,506,952","344,952","1,345,126","-1,000,174","59,150,827","15,643,701","43,507,126","62,190,518"
7-26,"8,362,976","5,184,290","3,178,686",0,0,0,0,"700,000","-700,000","26,691,523","181,248","291,034","-109,786","27,939,575","1,138,266","26,801,309","29,170,209"
7-27,"18,543,136","4,081,900","14,461,236",0,0,0,0,"150,000","-150,000","10,989,720","199,751","120,024","79,727","12,959,484","2,049,491","10,909,993","25,300,956"
7-28,"6,096,222","5,019,000","1,077,222",0,0,0,0,"330,000","-330,000","57,153,635","344,314","243,832","100,482","57,720,777","667,624","57,053,153","57,900,857"
7-31,"22,682,251","13,391,864","9,290,387",0,0,0,0,"330,000","-330,000","18,734,724","563,624","784,106","-220,482","23,556,713","4,601,507","18,955,206","27,695,111"
8-1,"16,686,185","12,527,000","4,159,185",0,0,0,0,"600,000","-600,000","19,957,823","330,179","105,179","225,000","20,429,185","696,362","19,732,823","23,517,008"
8-2,"19,944,961","26,913,600","-6,968,639",0,0,0,0,"180,000","-180,000","5,227,904","761,663","1,569,661","-807,998","10,064,379","4,028,477","6,035,902","-1,920,735"
8-4,"16,936,948","15,054,670","1,882,278",0,0,0,0,"500,000","-500,000","16,791,076","694,126","1,529,128","-835,002","18,206,445","580,367","17,626,078","18,173,354"
8-7,"4,152,993","4,699,510","-546,517",0,0,0,0,0,0,"13,136,604","494,202","493,851",351,"13,583,858","447,605","13,136,253","12,590,087"
8-8,"5,085,948","13,283,320","-8,197,372",0,0,0,0,0,0,"9,940,488","160,008","1,520,359","-1,360,351","12,962,614","1,661,775","11,300,839","1,743,116"
8-9,"7,356,431","6,692,000","664,431",0,0,0,0,0,0,"3,110,506","280,396","220,396","60,000","3,615,274","564,768","3,050,506","3,774,937"
8-10,"4,765,867","22,581,000","-17,815,133",0,0,0,0,0,0,"-9,225,879","455,196","666,196","-211,000","329,998","9,344,877","-9,014,879","-27,041,012"
8-11,"6,506,197","5,418,600","1,087,597",0,0,0,0,0,0,"76,645","139,748","496,748","-357,000","534,109","100,464","433,645","1,164,242"
8-14,"7,690,825","8,986,040","-1,295,215",0,0,0,0,0,0,"-2,707,526","280,000","279,322",678,"259,000","2,967,204","-2,708,204","-4,002,741"
8-15,"11,727,989","1,831,200","9,896,789",0,0,0,"300,000",0,"300,000","1,087,459","211,360","102,038","109,322","1,459,710","481,573","978,137","11,284,248"
8-16,"9,993,465","2,172,873","7,820,592",0,0,0,"400,000",0,"400,000","1,515,591","87,876","1,602,876","-1,515,000","3,399,088","368,497","3,030,591","9,736,183"
8-17,"4,603,375","5,991,000","-1,387,625",0,0,0,"400,000",0,"400,000","5,402,254","368,342","381,599","-13,257","5,806,213","390,702","5,415,511","4,414,629"
8-18,"5,590,743","12,376,648","-6,785,905",0,0,0,"200,000",0,"200,000","-6,325,012","339,067","269,810","69,257","2,893,266","9,287,535","-6,394,269","-12,910,917"
8-21,"5,203,784","3,925,380","1,278,404",0,0,0,0,0,0,"-630,649","225,315","655,315","-430,000","466,902","667,551","-200,649","647,755"
8-22,"6,497,212","2,568,150","3,929,062",0,0,0,0,0,0,"6,646,607","157,210","72,207","85,003","6,562,406",802,"6,561,604","10,575,669"
8-23,"1,749,260","1,651,000","98,260",0,0,0,0,0,0,"10,340,942","94,257","144,260","-50,003","10,540,510","149,565","10,390,945","10,439,202"
8-24,"13,067,419","5,930,840","7,136,579",0,0,0,0,0,0,"26,573,993","123,797","223,797","-100,000","27,097,526","423,533","26,673,993","33,710,572"
8-25,"3,038,689","13,642,000","-10,603,311",0,0,0,0,0,0,"-4,494,916","10,000",0,"10,000","306,000","4,810,916","-4,504,916","-15,098,227"
8-28,"5,134,175","8,696,000","-3,561,825",0,0,0,0,0,0,"-4,067,963","100,847","121,187","-20,340","1,233,526","5,281,149","-4,047,623","-7,629,788"
8-29,"1,756,603","2,434,000","-677,397",0,0,0,0,0,0,"420,439","113,137","82,788","30,349","1,204,050","813,960","390,090","-256,958"
8-30,"4,931,911","808,100","4,123,811",0,0,0,0,0,0,"3,375,224","95,000","70,000","25,000","3,543,223","192,999","3,350,224","7,499,035"
8-31,"1,878,833","2,246,160","-367,327",0,0,0,0,0,0,"-272,659","44,208","64,208","-20,000","646,673","899,332","-252,659","-639,986"
9-1,"1,244,811","3,392,000","-2,147,189",0,0,0,0,0,0,"-1,977,297","25,000","35,364","-10,364","35,000","2,001,933","-1,966,933","-4,124,486"
9-4,"4,645,080","2,152,025","2,493,055",0,0,0,0,0,0,"-826,001","31,999","411,000","-379,001","238,107","685,107","-447,000","1,667,054"
9-5,"5,888,170","898,050","4,990,120",0,0,0,0,0,0,"1,435,433","39,493","39,219",274,"1,729,797","294,638","1,435,159","6,425,553"
9-6,"1,896,786","1,425,620","471,166",0,0,0,0,0,0,"5,308,247","91,000","126,000","-35,000","5,977,924","634,677","5,343,247","5,779,413"
9-7,"929,854","2,876,000","-1,946,146",0,0,0,0,0,0,"-989,989","90,000","40,000","50,000","149,148","1,189,137","-1,039,989","-2,936,135"
9-8,"827,736","1,903,000","-1,075,264",0,0,0,0,0,0,"63,679","10,000","30,000","-20,000","755,000","671,321","83,679","-1,011,585"
9-11,"3,311,818","15,549,350","-12,237,532",0,0,0,0,0,0,"-13,014,936",0,"190,000","-190,000","380,000","13,204,936","-12,824,936","-25,252,468"
9-12,"5,279,666","2,067,000","3,212,666",0,0,0,0,0,0,"-1,335,528",0,"440,000","-440,000","895,181","1,790,709","-895,528","1,877,138"
9-13,"2,010,479","1,898,000","112,479",0,0,0,0,0,0,"-1,856,676","30,000","60,000","-30,000","414,368","2,241,044","-1,826,676","-1,744,197"
9-14,"13,019,657","843,000","12,176,657",0,0,0,0,0,0,"2,081,228","80,000","150,000","-70,000","2,311,228","160,000","2,151,228","14,257,885"
9-15,"9,067,067","1,082,863","7,984,204",0,0,0,0,0,0,"8,876,754","75,814","10,000","65,814","9,098,925","287,985","8,810,940","16,860,958"
9-18,"752,072","12,413,000","-11,660,928",0,0,0,0,0,0,"-2,540,085","30,000",0,"30,000","10,000","2,580,085","-2,570,085","-14,201,013"
9-19,"289,674","6,841,003","-6,551,329",0,0,0,0,0,0,"-1,340,117","30,000","11,000","19,000",0,"1,359,117","-1,359,117","-7,891,446"
9-20,"1,260,935","5,488,000","-4,227,065",0,0,0,0,0,0,"-1,982,242","110,000","7,000","103,000","423,042","2,508,284","-2,085,242","-6,209,307"
9-21,"2,240,622","14,143,000","-11,902,378",0,0,0,0,0,0,"-14,290,218","159,000","209,000","-50,000","11,000","14,251,218","-14,240,218","-26,192,596"
9-22,"1,810,792","1,010,105","800,687",0,0,0,0,0,0,"-3,141,865","20,000","110,000","-90,000","352,000","3,403,865","-3,051,865","-2,341,178"
9-25,"1,732,333","1,873,000","-140,667",0,0,0,0,0,0,"-1,830,123",0,"50,000","-50,000","218,964","1,999,087","-1,780,123","-1,970,790"
9-26,"365,809","7,966,800","-7,600,991",0,0,0,0,0,0,"-5,699,340",0,"1,270,000","-1,270,000","117,000","4,546,340","-4,429,340","-13,300,331"
9-27,"2,407,789","911,300","1,496,489",0,0,0,0,0,0,"-2,504,513","60,000","1,660,000","-1,600,000","379,429","1,283,942","-904,513","-1,008,024"
9-28,"3,629,780","1,340,000","2,289,780",0,0,0,0,0,0,"796,310","20,000","90,000","-70,000","1,488,180","621,870","866,310","3,086,090"
10-2,"21,424,916","2,412,000","19,012,916",0,0,0,"350,000",0,"350,000","2,920,233","599,000","29,000","570,000","2,977,756","627,523","2,350,233","22,283,149"
10-3,"1,193,181","15,688,000","-14,494,819",0,0,0,0,0,0,"-37,510,617","2,230,779","68,933","2,161,846","167,000","39,839,463","-39,672,463","-52,005,436"
10-4,"351,680","9,147,000","-8,795,320",0,0,0,0,0,0,"-26,502,680","421,113","1,238,113","-817,000","804,000","26,489,680","-25,685,680","-35,298,000"
10-5,"1,315,000","425,150","889,850",0,0,0,"1,500,000",0,"1,500,000","-8,921,944","105,000","15,000","90,000","1,205,000","10,216,944","-9,011,944","-6,532,094"
10-6,"1,099,903","956,000","143,903",0,0,0,"2,000,000",0,"2,000,000","-17,728,541","171,309","25,887","145,422","342,000","18,215,963","-17,873,963","-15,584,638"
10-11,"6,164,426","7,008,150","-843,724",0,0,0,"2,281,000",0,"2,281,000","-20,803,330","445,000","1,735,000","-1,290,000","2,024,000","21,537,330","-19,513,330","-19,366,054"
10-12,"2,837,317","556,354","2,280,963",0,0,0,"809,000",0,"809,000","-6,473,197","68,396","9,397","58,999","95,794","6,627,990","-6,532,196","-3,383,234"
10-13,"37,802","2,322,100","-2,284,298",0,0,0,"1,124,000",0,"1,124,000","-49,510,687","87,639","9,639","78,000","330,000","49,918,687","-49,588,687","-50,670,985"
10-16,"485,486","2,231,200","-1,745,714",0,0,0,"972,000",0,"972,000","-59,053,466","3,000",0,"3,000","438,589","59,495,055","-59,056,466","-59,827,180"
10-17,"1,727,922","13,622,000","-11,894,078",0,0,0,"2,208,000",0,"2,208,000","-77,827,660","38,000","180,000","-142,000","563,000","78,248,660","-77,685,660","-87,513,738"
10-18,"2,875,907","19,451,300","-16,575,393",0,0,0,"2,000,000",0,"2,000,000","-130,321,550","318,000","209,999","108,001","1,235,000","131,664,551","-130,429,551","-144,896,943"
10-19,"5,080,396","1,998,946","3,081,450",0,0,0,"300,000",0,"300,000","-97,874,395","369,000",0,"369,000","562,000","98,805,395","-98,243,395","-94,492,945"
10-20,"1,111,650","14,881,000","-13,769,350",0,0,0,"500,000",0,"500,000","-26,199,324","355,522","309,497","46,025","250,000","26,495,349","-26,245,349","-39,468,674"
10-23,"986,434","8,895,100","-7,908,666",0,0,0,"250,000",0,"250,000","-18,281,935","41,152","158,152","-117,000","354,000","18,518,935","-18,164,935","-25,940,601"
10-24,"2,450,215","4,147,200","-1,696,985",0,0,0,0,0,0,"-4,190,028","4,000","80,000","-76,000","2,156,621","6,270,649","-4,114,028","-5,887,013"
10-25,"295,600","1,848,100","-1,552,500",0,0,0,0,0,0,"-12,305,939","52,669","2,694","49,975","115,000","12,470,914","-12,355,914","-13,858,439"
10-26,"1,484,840","16,424,000","-14,939,160",0,0,0,"400,000",0,"400,000","-33,064,095","68,000","152,000","-84,000","30,000","33,010,095","-32,980,095","-47,603,255"
